Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable
?e  director  ?b  ?e  related  ?a   ,?a  director  ?b,0.014804202,0.130801688,0.340659341,31,237,91,?a
?b  influencedBy  ?a   ,?a  influenced  ?b,0.413667757,0.239276703,0.340005976,1138,4756,3347,?b
?b  child  ?f  ?f  relation  ?a   ,?a  relation  ?b,0.067193676,0.236111111,0.34,17,72,50,?b
?a  influenced  ?f  ?f  nationality  ?b   ,?a  nationality  ?b,0.011254551,0.100890208,0.34,34,337,100,?a
?a  owningCompany  ?f  ?f  product  ?b   ,?a  sisterStation  ?b,0.028442759,0.046948357,0.339943343,120,2556,353,?b
?a  country  ?b   ,?a  deathPlace  ?b,0.015858342,0.008275811,0.339939024,223,26946,656,?a
?a  governor  ?b   ,?a  predecessor  ?b,0.017756255,0.252148997,0.33976834,88,349,259,?b
?e  owningCompany  ?a  ?e  parentCompany  ?b   ,?a  subsidiary  ?b,0.043879908,0.113772455,0.339285714,19,167,56,?b
?e  owner  ?a  ?e  parentCompany  ?b   ,?a  subsidiary  ?b,0.043879908,0.113772455,0.339285714,19,167,56,?b
?f  producer  ?b  ?a  subsequentWork  ?f   ,?a  creator  ?b,0.013249651,0.010286952,0.339285714,19,1847,56,?a
?f  owner  ?b  ?a  subsidiary  ?f   ,?a  parentCompany  ?b,0.014307229,0.126666667,0.339285714,19,150,56,?a
?f  associatedMusicalArtist  ?a  ?b  foundedBy  ?f   ,?a  recordLabel  ?b,0.012124886,0.257234727,0.339270568,400,1555,1179,?a
?f  associatedBand  ?a  ?b  foundedBy  ?f   ,?a  recordLabel  ?b,0.012124886,0.257234727,0.339270568,400,1555,1179,?a
?a  grandsire  ?f  ?f  honours  ?b   ,?a  honours  ?b,0.049773756,0.104265403,0.338461538,22,211,65,?a
?a  country  ?f  ?f  largestCity  ?b   ,?a  headquarter  ?b,0.066666667,0.008705526,0.338235294,138,15852,408,?a
?a  predecessor  ?f  ?f  religion  ?b   ,?a  religion  ?b,0.100848256,0.189380531,0.337894737,321,1695,950,?a
?f  region  ?b  ?a  successor  ?f   ,?a  region  ?b,0.071144498,0.184,0.337526205,161,875,477,?a
?a  producer  ?b   ,?a  author  ?b,0.127536232,0.010456274,0.337164751,88,8416,261,?b
?e  author  ?b  ?e  previousWork  ?a   ,?a  creator  ?b,0.020920502,0.263157895,0.337078652,30,114,89,?a
?f  predecessor  ?a  ?b  sisterStation  ?f   ,?a  sisterStation  ?b,0.014695425,0.321243523,0.336956522,62,193,184,?b
?f  largestCity  ?b  ?a  recordedIn  ?f   ,?a  recordedIn  ?b,0.049564635,0.336363636,0.336363636,74,220,220,?a
?a  computingPlatform  ?e  ?e  successor  ?b   ,?a  computingPlatform  ?b,0.131764706,0.336336336,0.336336336,112,333,333,?b
?e  subsequentWork  ?a  ?e  voice  ?b   ,?a  voice  ?b,0.051141553,0.336336336,0.336336336,112,333,333,?b
?a  almaMater  ?f  ?f  country  ?b   ,?a  residence  ?b,0.040107853,0.052748227,0.336158192,119,2256,354,?a
?a  country  ?f  ?f  officialLanguage  ?b   ,?a  language  ?b,0.084586466,0.015546055,0.335820896,360,23157,1072,?a
?a  computingPlatform  ?f  ?b  successor  ?f   ,?a  computingPlatform  ?b,0.131764706,0.329411765,0.335329341,112,340,334,?b
?f  associate  ?a  ?b  predecessor  ?f   ,?a  associate  ?b,0.129545455,0.198606272,0.335294118,57,287,170,?b
?b  child  ?f  ?f  relative  ?a   ,?a  relative  ?b,0.060843965,0.189602446,0.335135135,62,327,185,?b
?a  predecessor  ?f  ?f  region  ?b   ,?a  region  ?b,0.062748564,0.18537859,0.33490566,142,766,424,?a
?a  commander  ?f  ?b  primeMinister  ?f   ,?a  commander  ?b,0.057389695,0.052261871,0.334532374,186,3559,556,?b
?f  district  ?b  ?a  riverMouth  ?f   ,?a  district  ?b,0.120095125,0.318611987,0.334437086,101,317,302,?a
?e  deputy  ?a  ?e  primeMinister  ?b   ,?a  primeMinister  ?b,0.044331856,0.308370044,0.334128878,140,454,419,?a
?b  recordLabel  ?a   ,?a  foundedBy  ?b,0.374613003,0.007335556,0.333793103,242,32990,725,?b
?a  region  ?b   ,?a  sourceRegion  ?b,0.19858156,0.012372956,0.333333333,28,2263,84,?a
?b  academicAdvisor  ?a   ,?a  doctoralStudent  ?b,0.024242424,0.048780488,0.333333333,4,82,12,?b
?a  sourceConfluenceRegion  ?b   ,?a  mouthRegion  ?b,0.029411765,0.1875,0.333333333,3,16,9,?a
?b  predecessor  ?f  ?a  publisher  ?f   ,?a  publisher  ?b,0.010752688,0.333333333,0.333333333,2,6,6,?a
?f  predecessor  ?b  ?a  publisher  ?f   ,?a  publisher  ?b,0.010752688,0.333333333,0.333333333,2,6,6,?a
?b  designer  ?f  ?a  developer  ?f   ,?a  programmingLanguage  ?b,0.020547945,0.055555556,0.333333333,3,54,9,?a
?a  operatingSystem  ?f  ?f  programmingLanguage  ?b   ,?a  programmingLanguage  ?b,0.020547945,0.111111111,0.333333333,3,27,9,?a
?f  programmingLanguage  ?b  ?a  programmingLanguage  ?f   ,?a  programmingLanguage  ?b,0.01369863,0.333333333,0.333333333,2,6,6,?a
?a  creator  ?f  ?b  relative  ?f   ,?a  author  ?b,0.010144928,0.155555556,0.333333333,7,45,21,?b
?f  lieutenant  ?b  ?a  predecessor  ?f   ,?a  lieutenant  ?b,0.096153846,0.078740157,0.333333333,10,127,30,?a
?e  lieutenant  ?b  ?e  predecessor  ?a   ,?a  lieutenant  ?b,0.096153846,0.112359551,0.333333333,10,89,30,?a
?a  leader  ?f  ?f  vicePresident  ?b   ,?a  leader  ?b,0.024719101,0.333333333,0.333333333,11,33,33,?a
?e  deathPlace  ?a  ?e  language  ?b   ,?a  officialLanguage  ?b,0.028469751,0.08988764,0.333333333,8,89,24,?a
?e  composer  ?b  ?e  related  ?a   ,?a  composer  ?b,0.05839895,0.2225,0.333333333,89,400,267,?a
?a  birthPlace  ?b  ?a  residence  ?b   ,?a  citizenship  ?b,0.039473684,0.016021362,0.333333333,12,749,36,?a
?a  creator  ?b  ?a  starring  ?b   ,?a  narrator  ?b,0.016042781,0.029126214,0.333333333,3,103,9,?a
?e  keyPerson  ?b  ?e  owner  ?a   ,?a  keyPerson  ?b,0.021178637,0.09623431,0.333333333,23,239,69,?a
?f  director  ?b  ?a  related  ?f   ,?a  director  ?b,0.016714422,0.154867257,0.333333333,35,226,105,?a
?b  parent  ?f  ?f  president  ?a   ,?a  child  ?b,0.012658228,0.296296296,0.333333333,8,27,24,?b
?b  owningCompany  ?f  ?a  subsidiary  ?f   ,?a  subsidiary  ?b,0.018475751,0.042780749,0.333333333,8,187,24,?b
?a  subsidiary  ?f  ?b  subsidiary  ?f   ,?a  subsidiary  ?b,0.048498845,0.066666667,0.333333333,21,315,63,?b
?b  division  ?f  ?f  owner  ?a   ,?a  subsidiary  ?b,0.016166282,0.111111111,0.333333333,7,63,21,?b
?f  parentCompany  ?a  ?b  predecessor  ?f   ,?a  subsidiary  ?b,0.016166282,0.14,0.333333333,7,50,21,?b
?e  owningCompany  ?a  ?e  successor  ?b   ,?a  subsidiary  ?b,0.023094688,0.098039216,0.333333333,10,102,30,?b
?f  party  ?b  ?a  taoiseach  ?f   ,?a  otherParty  ?b,0.010958904,0.093023256,0.333333333,4,43,12,?a
?a  child  ?f  ?f  party  ?b   ,?a  otherParty  ?b,0.010958904,0.034482759,0.333333333,4,116,12,?a
?b  creator  ?f  ?a  director  ?f   ,?a  series  ?b,0.101851852,0.043882979,0.333333333,33,752,99,?a
?f  largestCity  ?b  ?a  twinCountry  ?f   ,?a  twinCountry  ?b,0.012269939,0.032258065,0.333333333,2,62,6,?b
?e  producer  ?b  ?e  related  ?a   ,?a  developer  ?b,0.01843318,0.043478261,0.333333333,8,184,24,?a
?b  president  ?f  ?a  relation  ?f   ,?a  relation  ?b,0.015810277,0.017467249,0.333333333,4,229,12,?b
?f  child  ?a  ?b  parent  ?f   ,?a  relation  ?b,0.015810277,0.008948546,0.333333333,4,447,12,?b
?a  commandStructure  ?f  ?f  garrison  ?b   ,?a  garrison  ?b,0.068126521,0.333333333,0.333333333,28,84,84,?b
?b  isPartOf  ?f  ?a  routeEnd  ?f   ,?a  routeJunction  ?b,0.024484536,0.011163337,0.333333333,19,1702,57,?b
?a  primeMinister  ?b  ?b  successor  ?a   ,?a  successor  ?b,0.02552757,0.307377049,0.333333333,150,488,450,?a
?f  author  ?b  ?a  subsequentWork  ?f   ,?a  creator  ?b,0.020223152,0.254385965,0.333333333,29,114,87,?a
?a  broadcastNetwork  ?f  ?f  type  ?b   ,?a  programmeFormat  ?b,0.074666667,0.14893617,0.333333333,28,188,84,?a
?a  rightTributary  ?f  ?f  sourceCountry  ?b   ,?a  sourceCountry  ?b,0.033112583,0.178571429,0.333333333,5,28,15,?a
?f  country  ?b  ?a  source  ?f   ,?a  sourceCountry  ?b,0.026490066,0.076923077,0.333333333,4,52,12,?a
?f  country  ?b  ?a  district  ?f   ,?a  sourceCountry  ?b,0.01986755,0.005235602,0.333333333,3,573,9,?a
?e  country  ?b  ?e  outflow  ?a   ,?a  sourceCountry  ?b,0.01986755,0.068181818,0.333333333,3,44,9,?a
?e  leftTributary  ?a  ?e  mouthCountry  ?b   ,?a  sourceCountry  ?b,0.013245033,0.153846154,0.333333333,2,13,6,?a
?e  previousWork  ?a  ?e  voice  ?b   ,?a  voice  ?b,0.048401826,0.333333333,0.333333333,106,318,318,?b
?a  leftTributary  ?f  ?f  region  ?b   ,?a  mouthRegion  ?b,0.019607843,0.083333333,0.333333333,2,24,6,?a
?e  previousWork  ?b  ?e  related  ?a   ,?a  previousWork  ?b,0.020568071,0.141891892,0.333333333,21,148,63,?a
?a  president  ?f  ?b  vicePresident  ?f   ,?a  president  ?b,0.044405747,0.332247557,0.332247557,102,307,307,?a
?a  album  ?f  ?f  producer  ?b   ,?a  musicalBand  ?b,0.046056991,0.071538857,0.331742243,139,1943,419,?b
?a  album  ?f  ?f  producer  ?b   ,?a  musicalArtist  ?b,0.046056991,0.071538857,0.331742243,139,1943,419,?b
?a  computingPlatform  ?e  ?e  predecessor  ?b   ,?a  computingPlatform  ?b,0.125882353,0.325227964,0.33126935,107,329,323,?b
?b  associatedMusicalArtist  ?a   ,?a  associatedMusicalArtist  ?b,0.242241859,0.242241859,0.331149775,12638,52171,38164,?a
?b  associatedBand  ?a   ,?a  associatedMusicalArtist  ?b,0.242241859,0.242241859,0.331149775,12638,52171,38164,?a
?b  associatedMusicalArtist  ?a   ,?a  associatedBand  ?b,0.242241859,0.242241859,0.331149775,12638,52171,38164,?a
?b  associatedBand  ?a   ,?a  associatedBand  ?b,0.242241859,0.242241859,0.331149775,12638,52171,38164,?a
?a  headquarter  ?f  ?b  largestCity  ?f   ,?a  broadcastArea  ?b,0.02233677,0.077227723,0.330508475,39,505,118,?a
?f  part  ?a  ?b  part  ?f   ,?a  part  ?b,0.043125175,0.071828358,0.330472103,154,2144,466,?b
?f  country  ?b  ?a  location  ?f   ,?a  location  ?b,0.137110107,0.330411687,0.330411687,1244,3765,3765,?a
?a  author  ?b   ,?a  executiveProducer  ?b,0.056089744,0.152173913,0.330188679,105,690,318,?a
?b  associatedBand  ?a   ,?a  bandMember  ?b,0.833252662,0.065994518,0.329505216,3443,52171,10449,?b
?b  associatedMusicalArtist  ?a   ,?a  bandMember  ?b,0.833252662,0.065994518,0.329505216,3443,52171,10449,?b
?b  division  ?f  ?a  owningCompany  ?f   ,?a  owningCompany  ?b,0.037588652,0.329192547,0.329192547,53,161,161,?a
?a  president  ?f  ?f  religion  ?b   ,?a  religion  ?b,0.060006283,0.150749803,0.328743546,191,1267,581,?a
?e  predecessor  ?a  ?e  region  ?b   ,?a  region  ?b,0.061864781,0.17699115,0.328638498,140,791,426,?a
?a  subsequentWork  ?f  ?f  voice  ?b   ,?a  voice  ?b,0.050684932,0.328402367,0.328402367,111,338,338,?b
?b  commander  ?a   ,?a  battle  ?b,0.062431783,0.176488738,0.327793696,572,3241,1745,?a
?a  hometown  ?b   ,?a  birthPlace  ?b,0.020413705,0.047856027,0.327784384,827,17281,2523,?a
?a  primeMinister  ?b  ?a  successor  ?b   ,?a  deputy  ?b,0.044392523,0.050666667,0.327586207,19,375,58,?b
?a  creator  ?b  ?a  executiveProducer  ?b   ,?a  director  ?b,0.017191977,0.081447964,0.327272727,36,442,110,?a
?f  isPartOfWineRegion  ?a  ?b  subregion  ?f   ,?a  subregion  ?b,0.159292035,0.155172414,0.327272727,18,116,55,?b
?f  subsidiary  ?a  ?b  subsidiary  ?f   ,?a  parentCompany  ?b,0.013554217,0.171428571,0.327272727,18,105,55,?a
?b  primeMinister  ?a  ?a  successor  ?b   ,?a  primeMinister  ?b,0.038632046,0.25,0.326203209,122,488,374,?a
?b  successor  ?a  ?a  successor  ?b   ,?a  primeMinister  ?b,0.047498417,0.173812283,0.326086957,150,863,460,?a
?a  foundedBy  ?b   ,?a  owningCompany  ?b,0.020567376,0.044891641,0.325842697,29,646,89,?a
?a  residence  ?b   ,?a  region  ?b,0.02386213,0.018200202,0.325301205,54,2967,166,?a
?e  parent  ?b  ?e  relative  ?a   ,?a  relative  ?b,0.038272816,0.140794224,0.325,39,277,120,?b
?a  leader  ?f  ?f  monarch  ?b   ,?a  leader  ?b,0.056179775,0.324675325,0.324675325,25,77,77,?a
?e  grandsire  ?a  ?e  honours  ?b   ,?a  honours  ?b,0.027149321,0.115384615,0.324324324,12,104,37,?a
?a  award  ?f  ?b  location  ?f   ,?a  race  ?b,0.024665413,0.17882919,0.324127907,223,1247,688,?a
?e  isPartOf  ?a  ?e  isPartOf  ?b   ,?a  part  ?b,0.267152058,0.043585526,0.323170732,954,21888,2952,?b
?f  author  ?b  ?a  previousWork  ?f   ,?a  creator  ?b,0.021617852,0.2421875,0.322916667,31,128,96,?a
?b  deputy  ?f  ?a  predecessor  ?f   ,?a  primeMinister  ?b,0.042431919,0.177483444,0.322891566,134,755,415,?a
?e  executiveProducer  ?b  ?e  subsequentWork  ?a   ,?a  creator  ?b,0.034170153,0.166666667,0.322368421,49,294,152,?a
?b  deputy  ?f  ?f  successor  ?a   ,?a  primeMinister  ?b,0.05129829,0.189917937,0.322067594,162,853,503,?a
?a  channel  ?f  ?f  pictureFormat  ?b   ,?a  format  ?b,0.051433858,0.187205387,0.321759259,278,1485,864,?a
?b  leader  ?a   ,?a  party  ?b,0.023906287,0.224719101,0.321543408,100,445,311,?a
?e  owner  ?b  ?e  sire  ?a   ,?a  breeder  ?b,0.073770492,0.102272727,0.321428571,9,88,28,?a
?e  isPartOfWineRegion  ?a  ?e  isPartOfWineRegion  ?b   ,?a  subregion  ?b,0.159292035,0.125,0.321428571,18,144,56,?b
?f  related  ?a  ?b  subsequentWork  ?f   ,?a  related  ?b,0.012684989,0.124137931,0.321428571,18,145,56,?b
?b  leader  ?f  ?a  primeMinister  ?f   ,?a  nationality  ?b,0.011916584,0.060402685,0.321428571,36,596,112,?a
?e  artist  ?b  ?e  producer  ?a   ,?a  associatedMusicalArtist  ?b,0.013494087,0.208902077,0.321167883,704,3370,2192,?a
?e  artist  ?b  ?e  producer  ?a   ,?a  associatedBand  ?b,0.013494087,0.208902077,0.321167883,704,3370,2192,?a
?a  commander  ?e  ?e  vicePresident  ?b   ,?a  commander  ?b,0.010490589,0.145299145,0.320754717,34,234,106,?b
?e  distributor  ?a  ?e  format  ?b   ,?a  pictureFormat  ?b,0.015178571,0.028716216,0.320754717,17,592,53,?a
?e  headquarter  ?a  ?e  language  ?b   ,?a  language  ?b,0.01174812,0.113636364,0.320512821,50,440,156,?a
?f  locationCountry  ?b  ?a  owningCompany  ?f   ,?a  broadcastArea  ?b,0.018900344,0.065217391,0.32038835,33,506,103,?a
?f  birthPlace  ?b  ?a  child  ?f   ,?a  residence  ?b,0.013818672,0.049636804,0.3203125,41,826,128,?a
?a  commander  ?e  ?e  successor  ?b   ,?a  commander  ?b,0.123727245,0.178301467,0.320031923,401,2249,1253,?b
?e  company  ?a  ?e  producer  ?b   ,?a  foundedBy  ?b,0.024767802,0.035794183,0.32,16,447,50,?b
?f  director  ?b  ?a  previousWork  ?f   ,?a  author  ?b,0.011594203,0.028571429,0.32,8,280,25,?b
?a  party  ?f  ?f  splitFromParty  ?b   ,?a  otherParty  ?b,0.021917808,0.045714286,0.32,8,175,25,?a
?f  previousEvent  ?b  ?a  previousEvent  ?f   ,?a  previousEvent  ?b,0.310679612,0.32,0.32,32,100,100,?a
?e  country  ?b  ?e  riverMouth  ?a   ,?a  sourceCountry  ?b,0.105960265,0.073059361,0.32,16,219,50,?a
?e  formerBandMember  ?a  ?e  recordLabel  ?b   ,?a  recordLabel  ?b,0.056956654,0.184831792,0.319884236,1879,10166,5874,?a
?a  previousWork  ?f  ?b  previousWork  ?f   ,?a  related  ?b,0.033121917,0.041373239,0.319727891,47,1136,147,?b
?a  developer  ?b   ,?a  creator  ?b,0.021617852,0.071428571,0.319587629,31,434,97,?a
?f  composer  ?b  ?a  related  ?f   ,?a  composer  ?b,0.059711286,0.2,0.319298246,91,455,285,?a
?e  industry  ?b  ?e  parentCompany  ?a   ,?a  industry  ?b,0.052411874,0.233954451,0.31920904,113,483,354,?a
?a  routeJunction  ?b   ,?a  routeEnd  ?b,0.15625,0.038659794,0.319148936,30,776,94,?b
?f  language  ?b  ?a  location  ?f   ,?a  language  ?b,0.038768797,0.033632287,0.319148936,165,4906,517,?a
?a  previousWork  ?f  ?f  voice  ?b   ,?a  voice  ?b,0.047945205,0.319148936,0.319148936,105,329,329,?b
?a  album  ?f  ?f  recordedIn  ?b   ,?a  recordedIn  ?b,0.019423979,0.155913978,0.318681319,29,186,91,?a
?a  previousWork  ?f  ?f  related  ?b   ,?a  related  ?b,0.045806906,0.318627451,0.318627451,65,204,204,?b
?f  related  ?b  ?a  related  ?f   ,?a  related  ?b,0.420718816,0.318569904,0.318569904,597,1874,1874,?b
?f  executiveProducer  ?b  ?a  subsequentWork  ?f   ,?a  creator  ?b,0.039748954,0.191275168,0.318435754,57,298,179,?a
?e  company  ?a  ?e  creator  ?b   ,?a  foundedBy  ?b,0.03250774,0.021384929,0.318181818,21,982,66,?b
?a  creator  ?f  ?f  relative  ?b   ,?a  author  ?b,0.010144928,0.189189189,0.318181818,7,37,22,?b
?a  governor  ?f  ?b  lieutenant  ?f   ,?a  governor  ?b,0.040114613,0.318181818,0.318181818,14,44,44,?a
?e  associate  ?a  ?e  successor  ?b   ,?a  associate  ?b,0.286363636,0.24,0.318181818,126,525,396,?b
?b  owner  ?f  ?a  subsidiary  ?f   ,?a  subsidiary  ?b,0.016166282,0.078651685,0.318181818,7,89,22,?b
?a  riverMouth  ?f  ?f  sourceCountry  ?b   ,?a  sourceCountry  ?b,0.046357616,0.094594595,0.318181818,7,74,22,?a
?e  isPartOf  ?a  ?e  leaderName  ?b   ,?a  leaderName  ?b,0.028945555,0.028056112,0.318181818,42,1497,132,?a
?f  owningCompany  ?b  ?a  subsidiary  ?f   ,?a  parentCompany  ?b,0.015813253,0.130434783,0.318181818,21,161,66,?a
?f  country  ?b  ?a  deathPlace  ?f   ,?a  deathPlace  ?b,0.154814393,0.318181818,0.318181818,2177,6842,6842,?a
?b  knownFor  ?a   ,?a  executiveProducer  ?b,0.018162393,0.052550232,0.317757009,34,647,107,?a
?a  commander  ?f  ?b  predecessor  ?f   ,?a  commander  ?b,0.094415304,0.165316045,0.317757009,306,1851,963,?b
?e  award  ?b  ?e  influenced  ?a   ,?a  award  ?b,0.014816886,0.174342105,0.317365269,53,304,167,?a
?a  isPartOf  ?b   ,?a  owner  ?b,0.010869565,0.000550148,0.317073171,13,23630,41,?a
?e  lieutenant  ?b  ?e  successor  ?a   ,?a  lieutenant  ?b,0.125,0.092198582,0.317073171,13,141,41,?a
?e  canton  ?b  ?a  neighboringMunicipality  ?e   ,?a  neighboringMunicipality  ?b,0.020833333,0.0625,0.317073171,13,208,41,?b
?a  musicalBand  ?b  ?a  writer  ?b   ,?a  producer  ?b,0.026140684,0.286085826,0.316091954,220,769,696,?a
?a  musicalArtist  ?b  ?a  writer  ?b   ,?a  producer  ?b,0.026140684,0.286085826,0.316091954,220,769,696,?a
?a  district  ?b   ,?a  mouthRegion  ?b,0.058823529,0.007134364,0.315789474,6,841,19,?a
?f  isPartOfWineRegion  ?a  ?b  isPartOfWineRegion  ?f   ,?a  subregion  ?b,0.212389381,0.296296296,0.315789474,24,81,76,?b
?e  creator  ?a  ?e  subsequentWork  ?b   ,?a  notableWork  ?b,0.035714286,0.02173913,0.315789474,6,276,19,?b
?f  isPartOf  ?b  ?a  routeJunction  ?f   ,?a  routeStart  ?b,0.03030303,0.013667426,0.315789474,6,439,19,?b
?a  formerBandMember  ?f  ?b  formerBandMember  ?f   ,?a  formerBandMember  ?b,0.012009608,0.00785546,0.315789474,60,7638,190,?b
?a  isPartOf  ?f  ?f  leaderName  ?b   ,?a  leaderName  ?b,0.061337009,0.05786736,0.315602837,89,1538,282,?a
?e  award  ?b  ?e  doctoralStudent  ?a   ,?a  award  ?b,0.019849036,0.254480287,0.315555556,71,279,225,?a
?a  locationCountry  ?f  ?f  officialLanguage  ?b   ,?a  language  ?b,0.029840226,0.086867305,0.315136476,127,1462,403,?a
?e  genre  ?b  ?e  writer  ?a   ,?a  genre  ?b,0.022858499,0.232989358,0.314883417,1445,6202,4589,?a
?a  related  ?f  ?f  religion  ?b   ,?a  religion  ?b,0.098020735,0.279820628,0.314833502,312,1115,991,?a
?a  predecessor  ?b  ?a  primeMinister  ?b   ,?a  successor  ?b,0.019060585,0.287917738,0.314606742,112,389,356,?a
?e  instrument  ?b  ?e  stylisticOrigin  ?a   ,?a  instrument  ?b,0.056231563,0.208999543,0.31443299,915,4378,2910,?a
?a  owner  ?f  ?b  parentOrganisation  ?f   ,?a  broadcastNetwork  ?b,0.019642857,0.076923077,0.314285714,11,143,35,?a
?f  country  ?a  ?b  populationPlace  ?f   ,?a  ethnicGroup  ?b,0.035031847,0.047826087,0.314285714,11,230,35,?b
?e  parent  ?b  ?e  spouse  ?a   ,?a  relative  ?b,0.010794897,0.082706767,0.314285714,11,133,35,?b
?f  country  ?b  ?a  mouthMountain  ?f   ,?a  sourceCountry  ?b,0.251655629,0.128378378,0.314049587,38,296,121,?a
?f  country  ?b  ?a  mouthPlace  ?f   ,?a  sourceCountry  ?b,0.251655629,0.128378378,0.314049587,38,296,121,?a
?a  riverMouth  ?f  ?f  state  ?b   ,?a  state  ?b,0.028956986,0.301169591,0.31402439,103,342,328,?a
?e  locationCity  ?b  ?e  parentCompany  ?a   ,?a  locationCity  ?b,0.040943789,0.160326087,0.313829787,59,368,188,?a
?a  keyPerson  ?f  ?f  relative  ?b   ,?a  keyPerson  ?b,0.019337017,0.313432836,0.313432836,21,67,67,?a
?e  previousWork  ?a  ?e  producer  ?b   ,?a  creator  ?b,0.014644351,0.011000524,0.313432836,21,1909,67,?a
?f  locationCity  ?b  ?a  owningCompany  ?f   ,?a  headquarter  ?b,0.0352657,0.098382749,0.313304721,73,742,233,?a
?a  location  ?f  ?f  officialLanguage  ?b   ,?a  language  ?b,0.024201128,0.053870293,0.313069909,103,1912,329,?a
?a  birthPlace  ?b   ,?a  hometown  ?b,0.047856027,0.020413705,0.312902005,827,40512,2643,?a
?a  nationality  ?b   ,?a  birthPlace  ?b,0.019376975,0.259847733,0.312749004,785,3021,2510,?a
?b  division  ?a   ,?a  owner  ?b,0.016722408,0.028328612,0.3125,20,706,64,?a
?b  bandMember  ?f  ?f  recordLabel  ?a   ,?a  foundedBy  ?b,0.015479876,0.002054232,0.3125,10,4868,32,?b
?f  owningCompany  ?a  ?b  predecessor  ?f   ,?a  subsidiary  ?b,0.011547344,0.079365079,0.3125,5,63,16,?b
?f  owner  ?a  ?b  predecessor  ?f   ,?a  subsidiary  ?b,0.011547344,0.161290323,0.3125,5,31,16,?b
?e  party  ?b  ?e  vicePresident  ?a   ,?a  otherParty  ?b,0.01369863,0.03875969,0.3125,5,129,16,?a
?b  creator  ?f  ?a  producer  ?f   ,?a  series  ?b,0.015432099,0.004269855,0.3125,5,1171,16,?a
?f  author  ?b  ?a  previousWork  ?f   ,?a  developer  ?b,0.011520737,0.0390625,0.3125,5,128,16,?a
?a  creator  ?f  ?b  spouse  ?f   ,?a  creator  ?b,0.024407252,0.3125,0.3125,35,112,112,?a
?e  series  ?b  ?e  writer  ?a   ,?a  notableWork  ?b,0.05952381,0.12195122,0.3125,10,82,32,?b
?e  deathPlace  ?b  ?e  language  ?a   ,?a  spokenIn  ?b,0.012004802,0.112359551,0.3125,10,89,32,?b
?f  guest  ?b  ?a  lastAppearance  ?f   ,?a  portrayer  ?b,0.013020833,0.068493151,0.3125,5,73,16,?b
?f  instrument  ?b  ?a  stylisticOrigin  ?f   ,?a  instrument  ?b,0.094088004,0.256749958,0.312130479,1531,5963,4905,?a
?e  country  ?b  ?e  race  ?a   ,?a  location  ?b,0.017083655,0.30214425,0.311871227,155,513,497,?a
?e  company  ?a  ?e  format  ?b   ,?a  pictureFormat  ?b,0.029464286,0.026655897,0.311320755,33,1238,106,?a
?a  subsequentWork  ?f  ?f  writer  ?b   ,?a  musicalBand  ?b,0.027833002,0.090225564,0.311111111,84,931,270,?b
?a  subsequentWork  ?f  ?f  writer  ?b   ,?a  musicalArtist  ?b,0.027833002,0.090225564,0.311111111,84,931,270,?b
?a  bandMember  ?f  ?b  bandMember  ?f   ,?a  associatedMusicalArtist  ?b,0.025953116,0.242088325,0.31040807,1354,5593,4362,?a
?a  bandMember  ?f  ?b  bandMember  ?f   ,?a  associatedBand  ?b,0.025953116,0.242088325,0.31040807,1354,5593,4362,?a
?e  owner  ?a  ?e  successor  ?b   ,?a  subsidiary  ?b,0.020785219,0.12,0.310344828,9,75,29,?b
?f  creator  ?a  ?b  related  ?f   ,?a  notableWork  ?b,0.053571429,0.023316062,0.310344828,9,386,29,?b
?a  writer  ?b   ,?a  director  ?b,0.108882521,0.052161977,0.310204082,228,4371,735,?a
?b  largestCity  ?f  ?a  residence  ?f   ,?a  residence  ?b,0.074823054,0.310055866,0.310055866,222,716,716,?a
?f  associate  ?a  ?b  successor  ?f   ,?a  associate  ?b,0.261363636,0.218631179,0.309973046,115,526,371,?b
?f  country  ?b  ?a  ground  ?f   ,?a  ground  ?b,0.179941719,0.30952381,0.30952381,741,2394,2394,?a
?e  canton  ?b  ?e  neighboringMunicipality  ?a   ,?a  neighboringMunicipality  ?b,0.020833333,0.060185185,0.30952381,13,216,42,?b
?b  associatedMusicalArtist  ?a   ,?a  formerBandMember  ?b,0.739391513,0.07080562,0.309173083,3694,52171,11948,?b
?b  associatedBand  ?a   ,?a  formerBandMember  ?b,0.739391513,0.07080562,0.309173083,3694,52171,11948,?b
?a  almaMater  ?f  ?f  country  ?b   ,?a  birthPlace  ?b,0.015773104,0.283244681,0.309143687,639,2256,2067,?a
?a  distributor  ?f  ?f  successor  ?b   ,?a  distributor  ?b,0.044522043,0.309090909,0.309090909,102,330,330,?a
?e  developer  ?a  ?e  publisher  ?b   ,?a  parentCompany  ?b,0.012801205,0.091397849,0.309090909,17,186,55,?a
?a  district  ?f  ?f  isPartOf  ?b   ,?a  region  ?b,0.050375608,0.079221682,0.308943089,114,1439,369,?a
?a  stateOfOrigin  ?b   ,?a  residence  ?b,0.020896528,0.060019361,0.308457711,62,1033,201,?a
?e  broadcastNetwork  ?b  ?e  sisterStation  ?a   ,?a  broadcastNetwork  ?b,0.308928571,0.173520562,0.308377897,173,997,561,?a
?b  creator  ?f  ?a  writer  ?f   ,?a  series  ?b,0.388888889,0.203883495,0.30806846,126,618,409,?a
