Body,Head,Head_Coverage,Standard_Confidence,PCA_Confidence,Support,Body_Size,Pca_Body_Size,Functional_variable
?a  biomarker  Unknown  ?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Vinorelbine,0.028387,0.362234,0.362234,493,1361,1361,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Cardiopathy   ,?a  drug  Afatinib,0.025623,0.362083,0.362083,445,1229,1229,?a
?a  biomarker  EGFR_Positive  ?a  hasRelapse  Yes   ,?a  drug  Afatinib,0.03046,0.362081,0.362081,529,1461,1461,?a
?a  drug  Afatinib  ?a  drug  Vinorelbine   ,?a  biomarker  Unknown,0.027211,0.36205,0.36205,332,917,917,?a
?a  ageCategory  young  ?a  hasRelapse  No   ,?a  drug  Cisplatin,0.051304,0.362048,0.362048,891,2461,2461,?a
?a  biomarker  ALK_Positive  ?a  sex  female   ,?a  drug  Afatinib,0.030402,0.361892,0.361892,528,1459,1459,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Others   ,?a  drug  Vinorelbine,0.026314,0.361837,0.361837,457,1263,1263,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Cisplatin,0.021362,0.360895,0.360895,371,1028,1028,?a
?a  hasRelapse  No  ?a  sex  male   ,?a  drug  Cisplatin,0.052801,0.360882,0.360882,917,2541,2541,?a
?a  biomarker  ROS1_Positive  ?a  sex  male   ,?a  drug  Nivolumab,0.031957,0.360858,0.360858,555,1538,1538,?a
?a  biomarker  Unknown  ?a  smokingHabit  PreviousSmoker   ,?a  drug  Vinorelbine,0.017389,0.360812,0.360812,302,837,837,?a
?a  hasRelapse  No   ,?a  drug  Cisplatin,0.103587,0.36081,0.36081,1799,4986,4986,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  drug  Carboplatin,0.01641,0.360759,0.360759,285,790,790,?a
?a  comorbidity  Others   ,?a  drug  Vinorelbine,0.089422,0.360743,0.360743,1553,4305,4305,?a
?a  biomarker  Unknown  ?a  hasRelapse  Yes   ,?a  drug  Vinorelbine,0.033512,0.360595,0.360595,582,1614,1614,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  Unknown   ,?a  drug  Carboplatin,0.016007,0.360571,0.360571,278,771,771,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  drug  Afatinib,0.014741,0.360563,0.360563,256,710,710,?a
?a  biomarker  EGFR_Positive  ?a  sex  female   ,?a  drug  Cisplatin,0.029999,0.360554,0.360554,521,1445,1445,?a
?a  comorbidity  Depression  ?a  smokingHabit  NonSmoker   ,?a  drug  Afatinib,0.022341,0.36026,0.36026,388,1077,1077,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Others   ,?a  drug  Cisplatin,0.026199,0.360253,0.360253,455,1263,1263,?a
?a  biomarker  ROS1_Positive  ?a  sex  male   ,?a  drug  Vinorelbine,0.0319,0.360208,0.360208,554,1538,1538,?a
?a  smokingHabit  CurrentSmoker   ,?a  drug  Vinorelbine,0.050959,0.360195,0.360195,885,2457,2457,?a
?a  hasRelapse  No  ?a  smokingHabit  Unknown   ,?a  drug  Vinorelbine,0.025854,0.360064,0.360064,449,1247,1247,?a
?a  comorbidity  Cardiopathy  ?a  sex  male   ,?a  drug  Vinorelbine,0.044567,0.36,0.36,774,2150,2150,?a
?a  smokingHabit  PreviousSmoker   ,?a  drug  Vinorelbine,0.05401,0.359939,0.359939,938,2606,2606,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  Unknown   ,?a  drug  Nivolumab,0.020787,0.35992,0.35992,361,1003,1003,?a
?a  sex  female  ?a  smokingHabit  Unknown   ,?a  drug  Afatinib,0.02522,0.359901,0.359901,438,1217,1217,?a
?a  ageCategory  old  ?a  smokingHabit  Unknown   ,?a  drug  Cisplatin,0.025508,0.35987,0.35987,443,1231,1231,?a
?a  biomarker  ALK_Positive   ,?a  drug  Vinorelbine,0.062475,0.35951,0.35951,1085,3018,3018,?a
?a  sex  female  ?a  smokingHabit  NonSmoker   ,?a  biomarker  Unknown,0.036063,0.359477,0.359477,440,1224,1224,?a
?a  sex  male  ?a  smokingHabit  PreviousSmoker   ,?a  drug  Cisplatin,0.027005,0.359387,0.359387,469,1305,1305,?a
?a  comorbidity  Diabetes_Mellitus  ?a  comorbidity  Others   ,?a  drug  Afatinib,0.028675,0.359307,0.359307,498,1386,1386,?a
?a  ageCategory  old  ?a  hasRelapse  Yes   ,?a  drug  Afatinib,0.05165,0.359231,0.359231,897,2497,2497,?a
?a  ageCategory  old  ?a  sex  male   ,?a  drug  Vinorelbine,0.053089,0.359174,0.359174,922,2567,2567,?a
?a  ageCategory  young  ?a  biomarker  ROS1_Positive   ,?a  drug  Vinorelbine,0.031381,0.359025,0.359025,545,1518,1518,?a
?a  sex  male  ?a  smokingHabit  NonSmoker   ,?a  drug  Nivolumab,0.026026,0.359015,0.359015,452,1259,1259,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Nivolumab,0.015835,0.359008,0.359008,275,766,766,?a
?a  biomarker  ROS1_Positive  ?a  hasRelapse  No   ,?a  drug  Vinorelbine,0.030518,0.358835,0.358835,530,1477,1477,?a
?a  hasRelapse  Yes  ?a  smokingHabit  Unknown   ,?a  drug  Afatinib,0.024932,0.358741,0.358741,433,1207,1207,?a
?a  ageCategory  young  ?a  biomarker  ALK_Positive   ,?a  drug  Carboplatin,0.030921,0.358717,0.358717,537,1497,1497,?a
?a  comorbidity  Cardiopathy  ?a  hasRelapse  No   ,?a  drug  Vinorelbine,0.043416,0.358706,0.358706,754,2102,2102,?a
?a  smokingHabit  Unknown   ,?a  drug  Cisplatin,0.050671,0.358598,0.358598,880,2454,2454,?a
?a  smokingHabit  CurrentSmoker   ,?a  drug  Cisplatin,0.050728,0.358567,0.358567,881,2457,2457,?a
?a  biomarker  ALK_Positive  ?a  sex  male   ,?a  drug  Cisplatin,0.032187,0.358563,0.358563,559,1559,1559,?a
?a  hasRelapse  No  ?a  sex  male   ,?a  drug  Vinorelbine,0.052456,0.35852,0.35852,911,2541,2541,?a
?a  biomarker  Unknown  ?a  comorbidity  Depression   ,?a  drug  Carboplatin,0.029251,0.358504,0.358504,508,1417,1417,?a
?a  hasRelapse  Yes  ?a  sex  male   ,?a  drug  Afatinib,0.051995,0.358476,0.358476,903,2519,2519,?a
?a  smokingHabit  NonSmoker   ,?a  drug  Afatinib,0.051247,0.358437,0.358437,890,2483,2483,?a
?a  biomarker  ALK_Positive  ?a  hasRelapse  No   ,?a  drug  Afatinib,0.030748,0.358389,0.358389,534,1490,1490,?a
?a  biomarker  Unknown  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Carboplatin,0.016756,0.358374,0.358374,291,812,812,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  drug  Afatinib,0.016295,0.358228,0.358228,283,790,790,?a
?a  ageCategory  young  ?a  sex  female   ,?a  drug  Carboplatin,0.051247,0.358149,0.358149,890,2485,2485,?a
?a  ageCategory  young  ?a  smokingHabit  Unknown   ,?a  drug  Afatinib,0.02522,0.358136,0.358136,438,1223,1223,?a
?a  comorbidity  Others  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Carboplatin,0.021708,0.358025,0.358025,377,1053,1053,?a
?a  ageCategory  old  ?a  hasRelapse  No   ,?a  drug  Carboplatin,0.052053,0.35802,0.35802,904,2525,2525,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  Unknown   ,?a  drug  Vinorelbine,0.020671,0.357926,0.357926,359,1003,1003,?a
?a  comorbidity  Depression  ?a  comorbidity  Others   ,?a  drug  Carboplatin,0.028848,0.357857,0.357857,501,1400,1400,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  drug  Vinorelbine,0.014625,0.357746,0.357746,254,710,710,?a
?a  comorbidity  Others  ?a  hasRelapse  Yes   ,?a  drug  Afatinib,0.044567,0.357671,0.357671,774,2164,2164,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Depression   ,?a  drug  Afatinib,0.027696,0.357621,0.357621,481,1345,1345,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  Unknown   ,?a  drug  Carboplatin,0.021823,0.357547,0.357547,379,1060,1060,?a
?a  comorbidity  Depression  ?a  sex  male   ,?a  drug  Afatinib,0.044279,0.357508,0.357508,769,2151,2151,?a
?a  ageCategory  old  ?a  comorbidity  Cardiopathy   ,?a  drug  Afatinib,0.042897,0.357486,0.357486,745,2084,2084,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Vinorelbine,0.028214,0.357403,0.357403,490,1371,1371,?a
?a  comorbidity  Diabetes_Mellitus  ?a  sex  male   ,?a  drug  Cisplatin,0.044222,0.357376,0.357376,768,2149,2149,?a
?a  sex  male   ,?a  drug  Vinorelbine,0.104105,0.357312,0.357312,1808,5060,5060,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  NonSmoker   ,?a  drug  Nivolumab,0.015489,0.357238,0.357238,269,753,753,?a
?a  biomarker  EGFR_Positive  ?a  sex  female   ,?a  drug  Afatinib,0.029712,0.357093,0.357093,516,1445,1445,?a
?a  ageCategory  old  ?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Vinorelbine,0.043416,0.357008,0.357008,754,2112,2112,?a
?a  hasRelapse  No  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Carboplatin,0.024644,0.356964,0.356964,428,1199,1199,?a
?a  biomarker  ROS1_Positive  ?a  hasRelapse  Yes   ,?a  drug  Nivolumab,0.031324,0.356955,0.356955,544,1524,1524,?a
?a  ageCategory  young  ?a  biomarker  Unknown   ,?a  drug  Vinorelbine,0.033685,0.356925,0.356925,585,1639,1639,?a
?a  biomarker  Unknown   ,?a  drug  Vinorelbine,0.067196,0.356881,0.356881,1167,3270,3270,?a
?a  biomarker  Unknown   ,?a  drug  Afatinib,0.067196,0.356881,0.356881,1167,3270,3270,?a
?a  ageCategory  old  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Carboplatin,0.024529,0.356784,0.356784,426,1194,1194,?a
?a  comorbidity  Depression  ?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Carboplatin,0.028157,0.356674,0.356674,489,1371,1371,?a
?a  biomarker  Unknown  ?a  sex  male   ,?a  drug  Cisplatin,0.033512,0.356618,0.356618,582,1632,1632,?a
?a  hasRelapse  Yes  ?a  smokingHabit  NonSmoker   ,?a  drug  Vinorelbine,0.025623,0.356571,0.356571,445,1248,1248,?a
?a  comorbidity  Others  ?a  smokingHabit  NonSmoker   ,?a  drug  Nivolumab,0.021478,0.356256,0.356256,373,1047,1047,?a
?a  comorbidity  Others  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Afatinib,0.021593,0.356125,0.356125,375,1053,1053,?a
?a  biomarker  EGFR_Positive   ,?a  drug  Afatinib,0.059711,0.356113,0.356113,1037,2912,2912,?a
?a  ageCategory  old  ?a  sex  male   ,?a  drug  Cisplatin,0.052629,0.356058,0.356058,914,2567,2567,?a
?a  biomarker  ALK_Positive  ?a  hasRelapse  Yes   ,?a  drug  Carboplatin,0.031324,0.356021,0.356021,544,1528,1528,?a
?a  comorbidity  Diabetes_Mellitus  ?a  sex  female   ,?a  drug  Afatinib,0.04284,0.355811,0.355811,744,2091,2091,?a
?a  comorbidity  Others  ?a  sex  male   ,?a  drug  Cisplatin,0.043819,0.355774,0.355774,761,2139,2139,?a
?a  smokingHabit  Unknown   ,?a  drug  Carboplatin,0.050268,0.355746,0.355746,873,2454,2454,?a
?a  comorbidity  Depression  ?a  hasRelapse  No   ,?a  drug  Vinorelbine,0.043588,0.355566,0.355566,757,2129,2129,?a
?a  ageCategory  old  ?a  sex  male   ,?a  drug  Afatinib,0.052513,0.355279,0.355279,912,2567,2567,?a
?a  ageCategory  young  ?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Afatinib,0.043531,0.355263,0.355263,756,2128,2128,?a
?a  ageCategory  old  ?a  hasRelapse  No   ,?a  drug  Vinorelbine,0.05165,0.355248,0.355248,897,2525,2525,?a
?a  comorbidity  Depression  ?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Vinorelbine,0.028042,0.355215,0.355215,487,1371,1371,?a
?a  ageCategory  young  ?a  hasRelapse  Yes   ,?a  drug  Vinorelbine,0.051477,0.355185,0.355185,894,2517,2517,?a
?a  ageCategory  young  ?a  biomarker  Unknown   ,?a  drug  Cisplatin,0.033512,0.355095,0.355095,582,1639,1639,?a
?a  ageCategory  old  ?a  comorbidity  Cardiopathy   ,?a  drug  Vinorelbine,0.04261,0.355086,0.355086,740,2084,2084,?a
?a  comorbidity  Diabetes_Mellitus  ?a  hasRelapse  Yes   ,?a  drug  Vinorelbine,0.043301,0.355052,0.355052,752,2118,2118,?a
?a  sex  male  ?a  smokingHabit  NonSmoker   ,?a  drug  Carboplatin,0.025738,0.355044,0.355044,447,1259,1259,?a
?a  comorbidity  Others  ?a  hasRelapse  No   ,?a  drug  Carboplatin,0.043761,0.354974,0.354974,760,2141,2141,?a
?a  biomarker  ROS1_Positive   ,?a  drug  Vinorelbine,0.061323,0.354882,0.354882,1065,3001,3001,?a
?a  comorbidity  Depression  ?a  drug  Afatinib   ,?a  biomarker  Unknown,0.043193,0.354882,0.354882,527,1485,1485,?a
?a  ageCategory  young  ?a  smokingHabit  Unknown   ,?a  drug  Vinorelbine,0.02499,0.354865,0.354865,434,1223,1223,?a
?a  ageCategory  young  ?a  smokingHabit  NonSmoker   ,?a  drug  Cisplatin,0.02499,0.354865,0.354865,434,1223,1223,?a
?a  comorbidity  Diabetes_Mellitus  ?a  hasRelapse  No   ,?a  drug  Afatinib,0.043358,0.354854,0.354854,753,2122,2122,?a
?a  ageCategory  young  ?a  comorbidity  Depression   ,?a  drug  Cisplatin,0.043185,0.354778,0.354778,750,2114,2114,?a
?a  biomarker  EGFR_Positive   ,?a  drug  Cisplatin,0.059481,0.354739,0.354739,1033,2912,2912,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Afatinib,0.086601,0.354717,0.354717,1504,4240,4240,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Carboplatin,0.025854,0.35466,0.35466,449,1266,1266,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Nivolumab,0.014683,0.354659,0.354659,255,719,719,?a
?a  hasRelapse  No   ,?a  drug  Vinorelbine,0.101802,0.354593,0.354593,1768,4986,4986,?a
?a  ageCategory  young   ,?a  drug  Vinorelbine,0.10163,0.35456,0.35456,1765,4978,4978,?a
?a  biomarker  Unknown  ?a  hasRelapse  Yes   ,?a  drug  Cisplatin,0.032936,0.354399,0.354399,572,1614,1614,?a
?a  ageCategory  old  ?a  biomarker  ALK_Positive   ,?a  drug  Cisplatin,0.031036,0.354372,0.354372,539,1521,1521,?a
?a  sex  male  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Carboplatin,0.025681,0.354249,0.354249,446,1259,1259,?a
?a  ageCategory  old   ,?a  drug  Vinorelbine,0.102436,0.354241,0.354241,1779,5022,5022,?a
?a  hasRelapse  Yes   ,?a  drug  Vinorelbine,0.102263,0.354208,0.354208,1776,5014,5014,?a
?a  comorbidity  Cardiopathy  ?a  sex  male   ,?a  drug  Afatinib,0.043819,0.353953,0.353953,761,2150,2150,?a
?a  comorbidity  Cardiopathy   ,?a  drug  Vinorelbine,0.085507,0.353908,0.353908,1485,4196,4196,?a
?a  biomarker  EGFR_Positive  ?a  sex  male   ,?a  drug  Carboplatin,0.029884,0.353783,0.353783,519,1467,1467,?a
?a  smokingHabit  Unknown   ,?a  drug  Afatinib,0.04998,0.353708,0.353708,868,2454,2454,?a
?a  comorbidity  Diabetes_Mellitus  ?a  sex  male   ,?a  drug  Carboplatin,0.043761,0.353653,0.353653,760,2149,2149,?a
?a  hasRelapse  Yes   ,?a  drug  Afatinib,0.10209,0.35361,0.35361,1773,5014,5014,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  drug  Carboplatin,0.016123,0.353535,0.353535,280,792,792,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  drug  Cisplatin,0.016123,0.353535,0.353535,280,792,792,?a
?a  ageCategory  young  ?a  comorbidity  Others   ,?a  drug  Carboplatin,0.042494,0.353448,0.353448,738,2088,2088,?a
?a  biomarker  Unknown  ?a  smokingHabit  NonSmoker   ,?a  drug  Cisplatin,0.016871,0.353438,0.353438,293,829,829,?a
?a  sex  male  ?a  smokingHabit  Unknown   ,?a  drug  Nivolumab,0.025163,0.353274,0.353274,437,1237,1237,?a
?a  sex  male   ,?a  drug  Cisplatin,0.102896,0.353162,0.353162,1787,5060,5060,?a
?a  ageCategory  old  ?a  smokingHabit  PreviousSmoker   ,?a  drug  Cisplatin,0.027178,0.353029,0.353029,472,1337,1337,?a
?a  biomarker  ALK_Positive   ,?a  drug  Carboplatin,0.061323,0.352883,0.352883,1065,3018,3018,?a
?a  ageCategory  old   ,?a  drug  Cisplatin,0.102033,0.352847,0.352847,1772,5022,5022,?a
?a  comorbidity  Depression  ?a  hasRelapse  No   ,?a  drug  Afatinib,0.043243,0.352748,0.352748,751,2129,2129,?a
?a  ageCategory  old  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Afatinib,0.024241,0.352596,0.352596,421,1194,1194,?a
?a  comorbidity  Depression  ?a  sex  male   ,?a  drug  Carboplatin,0.043646,0.352394,0.352394,758,2151,2151,?a
?a  biomarker  Unknown  ?a  comorbidity  Others   ,?a  drug  Cisplatin,0.028157,0.352305,0.352305,489,1388,1388,?a
?a  drug  Afatinib  ?a  drug  Cisplatin   ,?a  biomarker  Unknown,0.024424,0.352246,0.352246,298,846,846,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  NonSmoker   ,?a  drug  Nivolumab,0.020787,0.352195,0.352195,361,1025,1025,?a
?a  sex  male   ,?a  drug  Afatinib,0.102608,0.352174,0.352174,1782,5060,5060,?a
?a  sex  female  ?a  smokingHabit  NonSmoker   ,?a  drug  Vinorelbine,0.024817,0.352124,0.352124,431,1224,1224,?a
?a  comorbidity  Depression  ?a  smokingHabit  PreviousSmoker   ,?a  drug  Afatinib,0.02165,0.35206,0.35206,376,1068,1068,?a
?a  comorbidity  Depression  ?a  smokingHabit  NonSmoker   ,?a  drug  Carboplatin,0.021823,0.351903,0.351903,379,1077,1077,?a
?a  comorbidity  Depression  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Carboplatin,0.021132,0.35187,0.35187,367,1043,1043,?a
?a  ageCategory  old  ?a  comorbidity  Depression   ,?a  drug  Afatinib,0.04307,0.351834,0.351834,748,2126,2126,?a
?a  ageCategory  old   ,?a  drug  Afatinib,0.101687,0.351653,0.351653,1766,5022,5022,?a
?a  ageCategory  young  ?a  biomarker  EGFR_Positive   ,?a  drug  Carboplatin,0.028157,0.351546,0.351546,489,1391,1391,?a
?a  comorbidity  Cardiopathy   ,?a  drug  Afatinib,0.084931,0.351525,0.351525,1475,4196,4196,?a
?a  hasRelapse  No  ?a  sex  male   ,?a  drug  Carboplatin,0.051419,0.351436,0.351436,893,2541,2541,?a
?a  comorbidity  Depression  ?a  comorbidity  Others   ,?a  drug  Cisplatin,0.02833,0.351429,0.351429,492,1400,1400,?a
?a  sex  female   ,?a  drug  Vinorelbine,0.09996,0.351417,0.351417,1736,4940,4940,?a
?a  ageCategory  old  ?a  comorbidity  Depression   ,?a  drug  Carboplatin,0.043013,0.351364,0.351364,747,2126,2126,?a
?a  ageCategory  old  ?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Carboplatin,0.042725,0.351326,0.351326,742,2112,2112,?a
?a  ageCategory  old  ?a  biomarker  Unknown   ,?a  drug  Carboplatin,0.032994,0.351318,0.351318,573,1631,1631,?a
?a  comorbidity  Diabetes_Mellitus  ?a  hasRelapse  No   ,?a  drug  Carboplatin,0.042897,0.351084,0.351084,745,2122,2122,?a
?a  comorbidity  Depression   ,?a  drug  Vinorelbine,0.08568,0.350943,0.350943,1488,4240,4240,?a
?a  comorbidity  Depression  ?a  sex  female   ,?a  drug  Cisplatin,0.042206,0.350886,0.350886,733,2089,2089,?a
?a  biomarker  Unknown   ,?a  drug  Cisplatin,0.066045,0.350765,0.350765,1147,3270,3270,?a
?a  ageCategory  young  ?a  biomarker  ALK_Positive   ,?a  drug  Afatinib,0.03023,0.350701,0.350701,525,1497,1497,?a
?a  ageCategory  young  ?a  smokingHabit  PreviousSmoker   ,?a  drug  Afatinib,0.025623,0.35067,0.35067,445,1269,1269,?a
?a  hasRelapse  No   ,?a  drug  Carboplatin,0.100651,0.350582,0.350582,1748,4986,4986,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  Unknown   ,?a  drug  Nivolumab,0.014165,0.350427,0.350427,246,702,702,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Depression   ,?a  drug  Cisplatin,0.025451,0.350238,0.350238,442,1262,1262,?a
?a  comorbidity  Depression   ,?a  drug  Afatinib,0.085507,0.350236,0.350236,1485,4240,4240,?a
?a  biomarker  ROS1_Positive   ,?a  drug  Nivolumab,0.060517,0.350217,0.350217,1051,3001,3001,?a
?a  comorbidity  Cardiopathy  ?a  drug  Vinorelbine   ,?a  biomarker  Unknown,0.042619,0.350168,0.350168,520,1485,1485,?a
?a  ageCategory  young   ,?a  drug  Cisplatin,0.100363,0.350141,0.350141,1743,4978,4978,?a
?a  comorbidity  Others  ?a  sex  female   ,?a  drug  Carboplatin,0.043646,0.349954,0.349954,758,2166,2166,?a
?a  biomarker  EGFR_Positive   ,?a  drug  Vinorelbine,0.058674,0.349931,0.349931,1019,2912,2912,?a
?a  sex  female   ,?a  drug  Cisplatin,0.099499,0.349798,0.349798,1728,4940,4940,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Cisplatin,0.085392,0.349764,0.349764,1483,4240,4240,?a
?a  smokingHabit  CurrentSmoker   ,?a  drug  Afatinib,0.049462,0.349613,0.349613,859,2457,2457,?a
?a  ageCategory  old  ?a  biomarker  Unknown   ,?a  drug  Nivolumab,0.032821,0.349479,0.349479,570,1631,1631,?a
?a  biomarker  Unknown  ?a  comorbidity  Others   ,?a  drug  Carboplatin,0.027927,0.349424,0.349424,485,1388,1388,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Nivolumab,0.027581,0.34938,0.34938,479,1371,1371,?a
?a  ageCategory  old  ?a  smokingHabit  Unknown   ,?a  drug  Nivolumab,0.02476,0.34931,0.34931,430,1231,1231,?a
?a  comorbidity  Depression   ,?a  drug  Cisplatin,0.085277,0.349292,0.349292,1481,4240,4240,?a
?a  smokingHabit  Unknown   ,?a  drug  Vinorelbine,0.049346,0.349226,0.349226,857,2454,2454,?a
?a  ageCategory  young  ?a  hasRelapse  Yes   ,?a  drug  Carboplatin,0.050613,0.349225,0.349225,879,2517,2517,?a
?a  hasRelapse  Yes  ?a  smokingHabit  PreviousSmoker   ,?a  drug  Carboplatin,0.026142,0.348962,0.348962,454,1301,1301,?a
?a  comorbidity  Others   ,?a  drug  Carboplatin,0.086486,0.348897,0.348897,1502,4305,4305,?a
?a  ageCategory  young  ?a  hasRelapse  No   ,?a  drug  Afatinib,0.049404,0.348639,0.348639,858,2461,2461,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  NonSmoker   ,?a  drug  Nivolumab,0.021881,0.348624,0.348624,380,1090,1090,?a
?a  comorbidity  Depression   ,?a  drug  Carboplatin,0.085104,0.348585,0.348585,1478,4240,4240,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Vinorelbine,0.085104,0.348585,0.348585,1478,4240,4240,?a
?a  biomarker  ALK_Positive   ,?a  drug  Cisplatin,0.060575,0.348575,0.348575,1052,3018,3018,?a
?a  ageCategory  old  ?a  smokingHabit  PreviousSmoker   ,?a  drug  Nivolumab,0.026832,0.348542,0.348542,466,1337,1337,?a
?a  comorbidity  Diabetes_Mellitus  ?a  sex  male   ,?a  drug  Nivolumab,0.043128,0.348534,0.348534,749,2149,2149,?a
?a  biomarker  ?d  ?a  smokingHabit  ?d   ,?a  drug  Vinorelbine,0.015892,0.348485,0.348485,276,792,792,?a
?a  drug  Cisplatin  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  Unknown,0.025162,0.348468,0.348468,307,881,881,?a
?a  sex  male   ,?a  drug  Carboplatin,0.101514,0.348419,0.348419,1763,5060,5060,?a
?a  ageCategory  young   ,?a  drug  Afatinib,0.099845,0.348333,0.348333,1734,4978,4978,?a
?a  comorbidity  Depression  ?a  smokingHabit  PreviousSmoker   ,?a  drug  Nivolumab,0.02142,0.348315,0.348315,372,1068,1068,?a
?a  smokingHabit  NonSmoker   ,?a  drug  Vinorelbine,0.04975,0.347966,0.347966,864,2483,2483,?a
?a  sex  female   ,?a  drug  Afatinib,0.098923,0.347773,0.347773,1718,4940,4940,?a
?a  ageCategory  young  ?a  comorbidity  Cardiopathy   ,?a  biomarker  Unknown,0.060077,0.347064,0.347064,733,2112,2112,?a
?a  biomarker  EGFR_Positive  ?a  hasRelapse  Yes   ,?a  drug  Carboplatin,0.029193,0.347023,0.347023,507,1461,1461,?a
?a  ageCategory  old  ?a  comorbidity  Cardiopathy   ,?a  drug  Nivolumab,0.041631,0.346929,0.346929,723,2084,2084,?a
?a  drug  Carboplatin  ?a  hasRelapse  No   ,?a  biomarker  Unknown,0.049668,0.346682,0.346682,606,1748,1748,?a
?a  hasRelapse  Yes  ?a  sex  male   ,?a  drug  Nivolumab,0.050268,0.346566,0.346566,873,2519,2519,?a
?a  comorbidity  Cardiopathy  ?a  sex  male   ,?a  drug  Nivolumab,0.042897,0.346512,0.346512,745,2150,2150,?a
?a  hasRelapse  No   ,?a  drug  Afatinib,0.099441,0.34637,0.34637,1727,4986,4986,?a
?a  smokingHabit  CurrentSmoker   ,?a  drug  Carboplatin,0.049001,0.346357,0.346357,851,2457,2457,?a
?a  ageCategory  old  ?a  sex  male   ,?a  drug  Nivolumab,0.051189,0.346319,0.346319,889,2567,2567,?a
?a  biomarker  ALK_Positive   ,?a  drug  Afatinib,0.060172,0.346256,0.346256,1045,3018,3018,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  drug  Carboplatin,0.084528,0.346226,0.346226,1468,4240,4240,?a
?a  ageCategory  young   ,?a  drug  Carboplatin,0.099211,0.346123,0.346123,1723,4978,4978,?a
?a  drug  Afatinib  ?a  smokingHabit  NonSmoker   ,?a  biomarker  Unknown,0.025244,0.346067,0.346067,308,890,890,?a
?a  ageCategory  young  ?a  smokingHabit  NonSmoker   ,?a  drug  Nivolumab,0.024357,0.345871,0.345871,423,1223,1223,?a
?a  biomarker  ROS1_Positive  ?a  sex  female   ,?a  drug  Carboplatin,0.029136,0.345865,0.345865,506,1463,1463,?a
?a  hasRelapse  No  ?a  smokingHabit  NonSmoker   ,?a  drug  Nivolumab,0.024587,0.345749,0.345749,427,1235,1235,?a
?a  hasRelapse  No  ?a  smokingHabit  NonSmoker   ,?a  biomarker  Unknown,0.034997,0.345749,0.345749,427,1235,1235,?a
?a  smokingHabit  PreviousSmoker   ,?a  drug  Cisplatin,0.05188,0.345741,0.345741,901,2606,2606,?a
?a  hasRelapse  No  ?a  smokingHabit  CurrentSmoker   ,?a  drug  Nivolumab,0.023838,0.345288,0.345288,414,1199,1199,?a
?a  biomarker  Unknown   ,?a  drug  Carboplatin,0.065008,0.34526,0.34526,1129,3270,3270,?a
